﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:0GKi4sPErVwTzruhuqoDvb","The Finish Line","Middle School, Mitchel Forman","The Finish Line","1","1","195096","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:52IWmLOUfIW2a8dHnMW0Gt","Quiet Mornings","Mr. Käfer","On The Rhodes","1","3","139416","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:6HYjx8HFtR0kOGEycaQjo3","Never Forget","B-Side","Chillhop Daydreams 2","1","14","164708","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:6rYOHqZFPyXZvHmZExhffU","Blue Skys","Mr. Käfer, Gavin Lord","On The Rhodes","1","4","191750","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:3lpJnTcQ88VKeFskvuGYcN","Ocean Drive","C Y G N","Discover","1","1","189562","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:7f13FFDArSEbjc5THYfUgj","Birdbath","Flovry","Chillhop Daydreams 2","1","8","168250","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:34gU3Ma8rsliHYJJs3ZQQI","223°","Mr. Käfer, Makkako","On The Rhodes","1","5","159624","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:3HpmfWNinvhJI3Urh14f4q","Pastel Plains","fantompower, Barnes Blvd.","Chillhop Daydreams 2","1","17","181000","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:4X2OQVrcnf7RQHPkhVrypr","Sun Sets","Mr. Käfer","On The Rhodes","1","6","153500","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:1RrKWQrGdM7Z6LJlisuzX1","Envision","dryhope","White Oak","1","3","139677","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:1dbACV62UWKzZfHy8PMKLW","Bus Taxi","Mr. Käfer, Remus Loopin","On The Rhodes","1","7","156000","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:4XoshYgwDPPoTd85GxZPnD","Focus","dryhope","White Oak","1","4","123333","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:5h1c8sxwelU7WAivQ6Xs2B","Subaquatic","Mr. Käfer, Makkako","On The Rhodes","1","8","178000","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:1GlQm4YTsfecRx5cKApfvw","Make You Hers","Psalm Trees, Guillaume Muschalle","Céleste","1","2","122857","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:6McycWxhOT2QgzczOIT3RD","Moon","Monma, Misha","Aura","1","3","179536","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:4rjH9gyEn2X4dj67kjTzxu","One Reason","dryhope","White Oak","1","1","181188","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:18x0jVPgV0lfpxDX5CTqsx","Celebrations","Mr. Käfer, Makkako","On The Rhodes","1","2","157124","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:1kY8bUi60zZxbVwNK3aFFH","Let's Forget Things We Said","C Y G N","Discover","1","3","175500","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:4cqQUn64txt20Wgz28yl2i","White Oak","dryhope","White Oak","1","5","118874","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
